City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gasa,PS,31.5,34.4667,76.98,67,0,7.94,clear sky
1,Bulungu,CD,-4.55,18.6,70.21,90,100,1.59,light rain
2,Wakkanai,JP,45.4094,141.6739,67.98,68,40,11.5,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,41.11,81,0,12.66,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,69.22,90,87,6.91,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,38.86,70,0,1.14,clear sky
6,Salalah,OM,17.0151,54.0924,80.69,89,20,1.14,few clouds
7,Nikolskoye,RU,59.7035,30.7861,47.88,98,72,3.94,broken clouds
8,Cape Town,ZA,-33.9258,18.4232,60.12,79,0,1.99,clear sky
9,Ampanihy,MG,-24.7,44.75,68.18,66,0,5.32,clear sky
10,Esperance,AU,-33.8667,121.9,60.64,83,82,13.15,light rain
11,New Norfolk,AU,-42.7826,147.0587,58.75,35,50,4.25,scattered clouds
12,Bluff,NZ,-46.6,168.3333,55.8,54,5,6.73,clear sky
13,Toamasina,MG,-18.1667,49.3833,66.2,94,40,6.91,light rain
14,Avarua,CK,-21.2078,-159.775,78.85,69,20,3.44,few clouds
15,Butaritari,KI,3.0707,172.7902,83.71,73,91,13.91,light rain
16,Albany,US,42.6001,-73.9662,55.54,87,6,5.21,clear sky
17,Tessalit,ML,20.1986,1.0114,84.72,16,1,8.14,clear sky
18,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,21.85,light rain
19,Luderitz,NA,-26.6481,15.1594,57.18,94,55,16.93,broken clouds
20,Beringovskiy,RU,63.05,179.3167,36.73,87,92,3.42,overcast clouds
21,Ponta Do Sol,PT,32.6667,-17.1,70.72,66,17,3.31,few clouds
22,Cabo San Lucas,MX,22.8909,-109.9124,86.61,76,6,5.28,clear sky
23,Jamestown,US,42.097,-79.2353,63.72,84,75,1.99,broken clouds
24,Santo Anastacio,BR,-21.8383,-51.6103,73.76,59,75,7.94,broken clouds
25,Sao Filipe,CV,14.8961,-24.4956,78.4,81,79,5.53,broken clouds
26,Barrow,US,71.2906,-156.7887,23.02,80,1,14.97,clear sky
27,Beyneu,KZ,45.3167,55.2,61.3,60,100,24.09,overcast clouds
28,Hobart,AU,-42.8794,147.3294,59.11,50,40,4.0,scattered clouds
29,Qaanaaq,GL,77.484,-69.3632,19.8,59,85,8.52,overcast clouds
30,Newport,GB,51.5877,-2.9984,64.94,90,100,28.14,overcast clouds
31,Kloulklubed,PW,7.0419,134.2556,86.5,74,84,7.94,broken clouds
32,Dikson,RU,73.5069,80.5464,35.53,86,76,24.67,broken clouds
33,Mount Gambier,AU,-37.8333,140.7667,66.11,34,76,12.66,broken clouds
34,Havelock,US,34.8791,-76.9013,69.75,88,3,1.79,clear sky
35,Rikitea,PF,-23.1203,-134.9692,73.65,72,33,19.6,scattered clouds
36,Saskylakh,RU,71.9167,114.0833,35.24,98,100,13.4,overcast clouds
37,Kahului,US,20.8947,-156.47,83.46,85,40,20.71,scattered clouds
38,Murray Bridge,AU,-35.1167,139.2667,75.49,23,56,12.73,broken clouds
39,Rawson,AR,-43.3002,-65.1023,51.01,31,5,8.55,clear sky
40,Margate,GB,51.3813,1.3862,64.11,98,89,15.5,overcast clouds
41,Skibbereen,IE,51.55,-9.2667,51.6,82,71,15.43,broken clouds
42,Bengkulu,ID,-3.8004,102.2655,82.85,71,74,3.76,broken clouds
43,Vao,NC,-22.6667,167.4833,68.27,68,35,10.87,scattered clouds
44,Marktheidenfeld,DE,49.8442,9.6039,62.53,94,100,1.99,overcast clouds
45,Hilo,US,19.7297,-155.09,80.33,86,90,12.66,moderate rain
46,Busselton,AU,-33.65,115.3333,63.09,75,64,12.41,broken clouds
47,Kapaa,US,22.0752,-159.319,84.18,75,40,1.99,light rain
48,Wattegama,LK,6.7989,81.4808,79.72,63,100,14.09,overcast clouds
49,Ojuelos De Jalisco,MX,21.8667,-101.5833,61.74,71,87,8.97,overcast clouds
50,Zaysan,KZ,47.4667,84.8667,47.64,44,60,3.2,broken clouds
51,Faanui,PF,-16.4833,-151.75,79.66,73,2,11.83,clear sky
52,Klaksvik,FO,62.2266,-6.589,49.12,86,91,14.07,overcast clouds
53,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.56,90,29,9.35,scattered clouds
54,Kodiak,US,57.79,-152.4072,45.36,62,0,9.71,clear sky
55,Atuona,PF,-9.8,-139.0333,78.08,73,5,18.81,clear sky
56,Jiwani,PK,25.05,61.7417,81.46,79,36,3.65,scattered clouds
57,Burnie,AU,-41.0667,145.9167,53.06,66,99,3.56,overcast clouds
58,Pirogovo,RU,56.7796,53.1495,39.65,92,100,16.31,moderate rain
59,Hithadhoo,MV,-0.6,73.0833,82.4,74,100,15.9,overcast clouds
60,Chernyshevskiy,RU,63.0128,112.4714,35.51,64,100,15.75,overcast clouds
61,Hambantota,LK,6.1241,81.1185,80.94,89,100,11.5,overcast clouds
62,Port Hardy,CA,50.6996,-127.4199,57.2,82,90,23.02,light intensity shower rain
63,Padang,ID,-0.9492,100.3543,78.85,84,96,5.14,light rain
64,Jalu,LY,29.0331,21.5482,69.06,64,0,9.19,clear sky
65,Mount Darwin,ZW,-16.7725,31.5838,61.05,67,6,5.41,clear sky
66,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,83,16.04,light rain
67,Mataura,NZ,-46.1927,168.8643,55.47,34,4,2.06,clear sky
68,Alyangula,AU,-13.8483,136.4192,85.87,66,75,9.22,broken clouds
69,Egvekinot,RU,66.3167,-179.1667,26.13,74,10,3.49,clear sky
70,Buraydah,SA,26.326,43.975,70.25,34,38,4.41,scattered clouds
71,Tasiilaq,GL,65.6145,-37.6368,32.16,63,16,6.62,few clouds
72,Carnarvon,AU,-24.8667,113.6333,69.87,52,0,13.8,clear sky
73,Turkistan,KZ,43.0,68.0,58.33,62,74,18.07,broken clouds
74,Victoria,HK,22.2855,114.1577,88.25,72,28,1.01,scattered clouds
75,Hami,CN,42.8,93.45,70.11,18,0,3.4,clear sky
76,Deputatskiy,RU,69.3,139.9,27.7,72,100,13.58,overcast clouds
77,Helena,US,46.5927,-112.0361,70.79,29,1,1.99,clear sky
78,Koksovyy,RU,48.1967,40.5989,46.63,87,7,12.88,clear sky
79,Kruisfontein,ZA,-34.0033,24.7314,55.49,94,7,4.05,clear sky
80,Neuquen,AR,-38.9516,-68.0591,49.89,46,0,2.3,clear sky
